TargetDeviceFamily,CortexM4,,,,,,,,,,,,
TargetDeviceSubFamily,MK20D7,mk,,,,,,,,,,,
,,,,,,,,,,,,,
Device,MK20DX64VLH7,K20P64M72SF1RM,LQFP_64_MK20D7,,,,,,,,,,
Device,MK20DX128VLH7,K20P64M72SF1RM,LQFP_64_MK20D7,,,,,,,,,,
Device,MK20DX256VLH7,K20P64M72SF1RM,LQFP_64_MK20D7,,,,,,,,,,
,,,,,,,,,,,,,
Key,Pin,Pkg LQFP_64_MK20D7,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,TEMP_SENSOR,Internal,ADC0_SE26/ADC1_SE26,,,,,,,,,,
Pin,BANDGAP,Internal,ADC0_SE27/ADC1_SE27/CMP0_IN6/CMP1_IN6/CMP2_IN6,,,,,,,,,,
Pin,CMP_DAC,Internal,CMP0_IN7/CMP1_IN7/CMP2_IN7,,,,,,,,,,
Pin,PIT_CH0,Internal,PIT_CH0,,,,,,,,,,
Pin,PIT_CH1,Internal,PIT_CH1,,,,,,,,,,
Pin,PIT_CH2,Internal,PIT_CH2,,,,,,,,,,
Pin,PIT_CH3,Internal,PIT_CH3,,,,,,,,,,
Pin,PTE0,p1,ADC1_SE4a,,ADC1_SE4a,PTE0,SPI1_PCS1,UART1_TX,,,I2C1_SDA,RTC_CLKOUT,
Pin,PTE1,p2,ADC1_SE5a,,ADC1_SE5a,PTE1/LLWU_P0,SPI1_SOUT,UART1_RX,,,I2C1_SCL,SPI1_SIN,
Pin,VDD1,p3,VDD,,,,,,,,,,
Pin,VSS1,p4,VSS,,,,,,,,,,
Pin,USB0_DP,p5,USB0_DP,,,,,,,,,,
Pin,USB0_DM,p6,USB0_DM,,,,,,,,,,
Pin,VOUT33,p7,VOUT33,,,,,,,,,,
Pin,VREGIN,p8,VREGIN,,,,,,,,,,
Pin,PGA0_DP,p9,PGA0_DP/ADC0_DP0/ADC1_DP3/ADC0_SE0/ADC1_SE3,,,,,,,,,,
Pin,PGA0_DM,p10,PGA0_DM/ADC0_DM0/ADC1_DM3/ADC0_SE19/ADC1_SE21,,,,,,,,,,
Pin,PGA1_DP,p11,PGA1_DP/ADC0_DP3/ADC1_DP0/ADC0_SE3/ADC1_SE0,,,,,,,,,,
Pin,PGA1_DM,p12,PGA1_DM/ADC0_DM3/ADC1_DM0/ADC0_SE21/ADC1_SE19,,,,,,,,,,
Pin,VDDA,p13,VDDA,,,,,,,,,,
Pin,VREFH,p14,VREFH,,,,,,,,,,
Pin,VREFL,p15,VREFL,,,,,,,,,,
Pin,VSSA,p16,VSSA,,,,,,,,,,
Pin,VREF_OUT,p17,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,,,
Pin,ADC0_SE23,p18,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,,
Pin,XTAL32,p19,XTAL32,,,,,,,,,,
Pin,EXTAL32,p20,EXTAL32,,,,,,,,,,
Pin,VBAT,p21,VBAT,,,,,,,,,,
Pin,PTA0,p22,JTAG_TCLK/SWD_CLK,,TSI0_CH1,PTA0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK
Pin,PTA1,p23,JTAG_TDI,,TSI0_CH2,PTA1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI
Pin,PTA2,p24,JTAG_TDO/TRACE_SWO,,TSI0_CH3,PTA2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO
Pin,PTA3,p25,JTAG_TMS/SWD_DIO,,TSI0_CH4,PTA3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,
Pin,PTA4,p26,NMI_b,,TSI0_CH5,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
Pin,PTA5,p27,DISABLED,,,PTA5,USB_CLKIN,FTM0_CH2,,CMP2_OUT,I2S0_TX_BCLK,JTAG_TRST_b,
Pin,PTA12,p28,CMP2_IN0,,CMP2_IN0,PTA12,CAN0_TX,FTM1_CH0,,,I2S0_TXD0,FTM1_QD_PHA,
Pin,PTA13,p29,CMP2_IN1,,CMP2_IN1,PTA13/LLWU_P4,CAN0_RX,FTM1_CH1,,,I2S0_TX_FS,FTM1_QD_PHB,
Pin,VDD2,p30,VDD,,,,,,,,,,
Pin,VSS2,p31,VSS,,,,,,,,,,
